Category,Item name,Item description,Item price
Electronics,Wireless Bluetooth Headphones,Noise-cancelling over-ear headphones with 30-hour battery life,79.99
Electronics,Smartwatch Pro X,Water-resistant smartwatch with fitness tracking and heart rate monitor,129
Electronics,"4K Ultra HD TV 55""",Crisp display with HDR10 and integrated streaming apps,449.99
Home & Kitchen,Stainless Steel Blender,Powerful 1200W blender ideal for smoothies and soups,59.95
Home & Kitchen,Air Fryer 5L,Healthier frying option with adjustable temperature and timer,89.5
Home & Kitchen,Memory Foam Pillow,Orthopedic pillow designed for better neck support,34.99
Clothing,Men’s Classic Denim Jacket,Durable cotton denim jacket with a modern fit,64.9
Clothing,Women’s Cashmere Sweater,Soft premium cashmere knit available in multiple colors,89.99
Clothing,Unisex Running Trainers,Lightweight breathable trainers for everyday use,59
Beauty,Vitamin C Face Serum,Antioxidant-rich formula for bright and hydrated skin,24.5
Beauty,Hydrating Shampoo 500ml,Sulfate-free shampoo for daily nourishment and shine,12.99
Beauty,Aloe Vera Moisturizer,Gentle daily cream for sensitive or dry skin,18.75
Toys & Games,LEGO City Police Station,Buildable police HQ set with vehicles and mini-figures,74.99
Toys & Games,Wireless Racing Drone,High-speed drone with HD camera and remote control,99.99
Toys & Games,Board Game: “Quest for the Crown”,Strategy and adventure board game for 2–6 players,39
Books,The Future of AI,Exploring how artificial intelligence is shaping modern life,14.99
Books,Healthy Recipes for Busy People,Quick and easy meals ready in under 30 minutes,19.5
Books,Mastering Personal Finance,Step-by-step guide to budgeting and investing,16
Sports & Outdoors,Camping Tent 4-Person,Waterproof and lightweight tent with easy setup,129.95
Sports & Outdoors,Adjustable Dumbbell Set 20kg,Compact weights for home workouts,79
Sports & Outdoors,Yoga Mat Pro Grip,Non-slip mat with carrying strap for yoga or pilates,29.99